Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6517.7555,0.0070,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.8359,0.0099,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.9163,0.0199,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.9966,0.0102,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.0769,0.0183,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.1572,0.0156,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.2375,0.0049,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.3177,0.0033,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.3979,0.0142,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.4781,-0.0041,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.5583,0.0133,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.6385,-0.0024,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.7186,0.0139,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.7987,0.0167,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.8788,-0.0035,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6518.9589,0.0121,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.0390,0.0389,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.1190,0.0147,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.1990,0.0090,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.2790,-0.0061,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.3590,0.0111,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.4389,0.0088,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.5188,0.0056,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.5987,0.0150,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.6786,0.0126,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.7585,0.0160,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.8383,0.0171,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.9181,0.0166,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6519.9979,0.0184,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
