Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6511.7661,0.0076,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.8488,0.0958,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.9314,0.0056,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.0139,0.0598,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.0965,-0.0181,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.1790,0.0326,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.2615,-0.0338,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.3439,0.0848,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.4264,0.0505,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.5088,0.0221,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.5912,0.0238,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.6735,0.0000,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.7559,0.0110,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.8382,-0.0166,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.9204,-0.0155,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.0027,-0.0016,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.0849,0.0319,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.1671,0.0203,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.2493,0.0300,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.3314,0.0325,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.4135,-0.0039,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.4956,0.0377,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.5777,0.0862,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.6597,0.0028,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.7417,0.0371,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.8237,0.0337,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.9057,0.0233,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.9876,0.0518,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.0695,-0.0532,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.1514,-0.0145,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.2333,0.0353,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.3151,-0.0069,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.3969,0.0584,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.4787,0.0157,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.5604,0.0204,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.6421,0.0265,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.7238,0.0124,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.8055,0.0531,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.8871,0.0638,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.9688,0.0094,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.0504,0.0186,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.1319,0.0549,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.2135,0.0038,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.2950,0.0074,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.3765,0.0215,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.4579,0.0145,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.5394,0.0268,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.6208,0.0232,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.7022,-0.0012,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
